X,Y,Z
0.09412958,5.30408312,-0.35600218
0.11720315,5.30255948,-0.36136862
0.11625595,5.31051381,-0.35872153
0.13557044,5.30854101,-0.35924023
0.18608642,5.35049834,-0.35158506
0.39779703,5.51283089,-0.30089072
0.44613272,5.55843105,-0.29130849
0.48370346,5.58279852,-0.2789102
0.50976324,5.58494508,-0.26818486
0.54140357,5.60601078,-0.26539474
0.56791593,5.63760486,-0.25522916
0.63241112,5.67588238,-0.25031093
0.68587216,5.71897289,-0.23161767
0.73444309,5.74861827,-0.21497348
0.77650801,5.75106169,-0.21755488
0.80818987,5.78266751,-0.21078241
0.8491968,5.7861661,-0.20671786
0.88016336,5.81588699,-0.20702107
0.94897108,5.82901889,-0.20061048
0.98517564,5.83035024,-0.19494885
1.04939934,5.8482589,-0.19531912
1.13750783,5.8401384,-0.2005134
1.15390603,5.83105573,-0.20556307
1.18706662,5.81946531,-0.2054666
1.23363664,5.80880498,-0.20852068
1.25609258,5.8068243,-0.21232015
1.29170465,5.77763879,-0.22886631
1.31520595,5.76881002,-0.24143024
1.3376317,5.74908631,-0.25091762
1.38794631,5.716448,-0.25758947
1.42337985,5.70006653,-0.25619504
1.44649215,5.67484437,-0.2598732
1.4775822,5.65625586,-0.28172333
1.50464671,5.63652972,-0.29361732
1.53575923,5.63198662,-0.29699107
1.55792681,5.59591671,-0.30431284
1.57096526,5.57359364,-0.32069568
1.60651863,5.55665197,-0.32459804
1.6529311,5.51991596,-0.33184701
1.68782951,5.48580199,-0.3464316
1.70929454,5.47970928,-0.35060529
1.73073048,5.46608739,-0.36347709
1.74353618,5.45181069,-0.36343284
1.77348438,5.44199061,-0.36829663
1.82102384,5.43332777,-0.3708803
1.86188385,5.40754969,-0.38330604
1.91145653,5.39580045,-0.38373945
1.95415151,5.38022097,-0.39065728
1.98665713,5.37104413,-0.39782415
2.05142755,5.35723945,-0.41038149
2.09364941,5.35000306,-0.4022501
2.21821233,5.31911493,-0.41436494
2.25040292,5.31352755,-0.42514135
2.26265278,5.32189622,-0.42484537
2.28298759,5.32120656,-0.42611613
2.29531388,5.32469827,-0.42664207
2.31743591,5.31663574,-0.43337034
2.34611516,5.32510744,-0.43844189
2.36165845,5.31353244,-0.42541381
2.40113003,5.31799734,-0.43361922
2.4122599,5.31750085,-0.43573562
2.43732468,5.32722527,-0.42828378
2.46403612,5.34351135,-0.41786403
2.49333007,5.35334459,-0.41423677
2.51743551,5.368592,-0.41274902
2.52146151,5.38877481,-0.40328634
2.40203998,5.58631852,-0.34691132
2.38887248,5.52392011,-0.34992074
2.37531435,5.51537825,-0.36463413
2.35020625,5.46243193,-0.37616891
2.32648207,5.40765364,-0.39862028
2.30524066,5.36598495,-0.41486911
2.27855468,5.33241029,-0.4411733
2.26800506,5.27288669,-0.44494507
2.23571519,5.22895097,-0.46400244
2.21155675,5.17517823,-0.47745711
2.17785466,5.13710289,-0.4837031
2.15417795,5.10079612,-0.49954069
2.11779022,5.05574845,-0.51557214
2.08178316,5.00473537,-0.52512656
2.02450131,4.95436983,-0.54607879
1.97965316,4.92220885,-0.56026612
1.93352909,4.90033809,-0.57910642
1.86344764,4.83208088,-0.59207824
1.80005039,4.80397139,-0.60025034
1.75445586,4.76884143,-0.61213622
1.67704901,4.73650598,-0.61797123
1.6090334,4.71691601,-0.63247612
1.55272287,4.68367673,-0.63989487
1.48194784,4.65579036,-0.63812057
1.45437792,4.65272398,-0.63683629
1.42446306,4.6284092,-0.65128948
1.4033111,4.62779074,-0.64904616
1.33814228,4.60728325,-0.66544085
1.29884511,4.58738088,-0.67020399
1.15632084,4.51952221,-0.68807335
1.10958252,4.48398647,-0.69262442
